year,directory,file_name,file_ext,file_url,date_found
2024,CPT/HCPCS Codes,2024 Medicare Risk Adjustment Eligible CPT/HCPCS Codes,,https://www.cms.gov/files/zip/2024-medicare-risk-adjustment-eligible-cpt/hcpcs-codes.zip-2,2026-08-25
2023,CPT/HCPCS Codes,2023 Medicare Risk Adjustment Eligible CPT/HCPCS Codes,,https://www.cms.gov/files/zip/2023-medicare-risk-adjustment-eligible-cpt/hcpcs-codes.zip-1,2026-08-25
2022,CPT/HCPCS Codes,2022 Medicare Risk Adjustment Eligible CPT/HCPCS Codes,zip,https://www.cms.gov/files/zip/2022-medicare-risk-adjustment-eligible-cpthcpcs-codes.zip,2026-08-25
2021,CPT/HCPCS Codes,2021 Medicare Risk Adjustment Eligible CPT/HCPCs Codes,zip,https://www.cms.gov/files/zip/2021-medicare-risk-adjustment-eligible-cpthcpcs-codes.zip,2026-08-25
2020,CPT/HCPCS Codes,2020 Medicare Risk Adjustment Eligible CPT/HCPCs Codes,zip,https://www.cms.gov/files/zip/2020-medicare-risk-adjustment-eligible-cpthcpcs-codes.zip,2026-08-25
2019,CPT/HCPCS Codes,2019 Medicare Risk Adjustment Eligible CPT/HCPCs Codes,zip,https://www.cms.gov/medicare/health-plans/medicareadvtgspecratestats/downloads/2019-medicare-cpt-hcpc-list.zip,2026-08-25
2018,CPT/HCPCS Codes,2018 Medicare Risk Adjustment Eligible CPT/HCPCS Codes,zip,https://www.cms.gov/medicare/health-plans/medicareadvtgspecratestats/downloads/2018-medicare-cpt-hcpc-list.zip,2026-08-25
2017,CPT/HCPCS Codes,2017 Medicare Risk Adjustment Eligible CPT/HCPCS Codes,zip,https://www.cms.gov/medicare/health-plans/medicareadvtgspecratestats/downloads/2017-medicare-cpt-hcpc-list.zip,2026-08-25
2016,CPT/HCPCS Codes,2016 Medicare Risk Adjustment Eligible CPT/HCPCS Codes,zip,https://www.cms.gov/medicare/health-plans/medicareadvtgspecratestats/downloads/2016-medicare-cpt-hcpc-list.zip,2026-08-25
2015,CPT/HCPCS Codes,2015 Medicare Risk Adjustment Eligible CPT/HCPCS Codes,zip,https://www.cms.gov/medicare/health-plans/medicareadvtgspecratestats/downloads/2015-medicare-cpt-hcpcs-codes.zip,2026-08-25
2014,CPT/HCPCS Codes,2014 Medicare Risk Adjustment Eligible CPT/HCPCS Codes,zip,https://www.cms.gov/medicare/health-plans/medicareadvtgspecratestats/downloads/2014-medicare-cpt-hcpcs-codes.zip,2026-08-25
